iter	Passed	Remaining
414	3261	12454
415	3268	12443
416	3275	12436
417	3283	12426
418	3290	12414
419	3297	12404
420	3305	12398
421	3312	12386
422	3320	12377
423	3328	12370
424	3335	12362
425	3344	12356
426	3351	12346
427	3359	12337
428	3367	12330
429	3374	12320
430	3381	12311
431	3389	12303
432	3396	12292
433	3403	12281
434	3411	12273
435	3418	12264
436	3426	12255
437	3434	12246
438	3442	12240
439	3450	12232
440	3458	12225
441	3465	12215
442	3472	12206
443	3479	12195
444	3486	12181
445	3493	12171
446	3500	12161
447	3508	12153
448	3516	12147
449	3523	12137
450	3531	12128
451	3538	12117
452	3545	12109
453	3552	12098
454	3560	12091
455	3567	12077
456	3574	12068
457	3582	12061
458	3590	12054
459	3598	12047
460	3607	12044
461	3615	12034
462	3622	12024
463	3629	12016
464	3636	12004
465	3644	11997
466	3652	11988
467	3660	11982
468	3667	11973
469	3676	11966
470	3683	11958
471	3690	11947
472	3698	11939
473	3705	11929
474	3712	11920
475	3719	11909
476	3726	11899
477	3733	11888
478	3741	11879
479	3748	11868
480	3756	11864
481	3764	11854
482	3770	11842
483	3777	11832
484	3785	11824
485	3792	11814
486	3799	11803
487	3806	11794
488	3814	11786
489	3821	11775
490	3828	11766
491	3835	11756
492	3843	11749
493	3850	11739
494	3858	11731
495	3864	11719
496	3872	11711
497	3880	11703
498	3887	11694
499	3895	11686
500	3903	11679
501	3910	11667
502	3916	11657
503	3924	11648
504	3931	11637
505	3938	11627
506	3945	11619
507	3953	11610
508	3960	11601
509	3967	11591
510	3974	11582
511	3982	11572
512	3989	11564
513	3997	11555
514	4004	11547
515	4012	11540
516	4020	11532
517	4028	11525
518	4035	11516
519	4042	11505
520	4049	11496
521	4057	11489
522	4064	11478
523	4072	11470
524	4079	11461
525	4086	11451
526	4094	11444
527	4101	11434
528	4108	11424
529	4115	11415
530	4123	11406
531	4130	11398
532	4137	11388
533	4145	11380
534	4152	11371
535	4160	11362
536	4168	11356
537	4178	11354
538	4187	11351
539	4195	11342
540	4202	11333
541	4208	11322
542	4216	11314
543	4223	11304
544	4230	11293
545	4238	11288
546	4245	11277
547	4253	11269
548	4260	11260
