iter	MultiClass
190	0.7235191388
191	0.7231409458
192	0.7227286706
193	0.722282512
194	0.7218498985
195	0.7213691993
196	0.7209146839
197	0.7203462759
198	0.7199561719
199	0.719515869
200	0.7190803062
201	0.7186235536
202	0.7181810347
203	0.7177147765
204	0.7173295333
205	0.7169329541
206	0.7165441176
207	0.7161569677
208	0.7157126268
209	0.7153126249
210	0.7149155731
211	0.7145407511
212	0.7142032285
213	0.7138862834
214	0.7135135298
215	0.7130372851
216	0.7127185821
217	0.7123334086
218	0.711914606
219	0.7115410012
220	0.7111519273
221	0.7107851837
222	0.7104701442
223	0.7101175592
224	0.7098519935
225	0.7095259542
226	0.7091860847
227	0.7087935791
228	0.7084609782
229	0.7081836068
230	0.7077688665
231	0.7074312473
232	0.7072152037
233	0.7068933439
234	0.7066096225
235	0.7063141087
236	0.7059744852
237	0.7056266484
238	0.7053201625
239	0.7050693061
240	0.7047874799
241	0.704548074
242	0.7042517416
243	0.703944746
244	0.7036222617
245	0.7033118565
246	0.7030438795
247	0.7027005262
248	0.7023792534
249	0.7021070216
250	0.7017906608
251	0.7015173162
252	0.7011313587
253	0.7008896306
254	0.7005631905
255	0.7002665009
256	0.7000399973
257	0.6997435306
258	0.6995270109
259	0.6992335793
260	0.6989686776
261	0.6986921903
262	0.6984521429
263	0.6982210742
264	0.6979752663
265	0.6977016018
266	0.6974123252
267	0.6971647123
268	0.6968476805
269	0.6966205462
270	0.6963422404
271	0.6961075027
272	0.695926462
273	0.6957238525
274	0.6955445774
275	0.6952799399
276	0.6950934972
277	0.6948835916
278	0.6946519936
279	0.6944818966
280	0.6942061352
281	0.6940352159
282	0.6938579424
283	0.6936029414
284	0.6934276066
285	0.6931871399
286	0.6929960203
287	0.6927839796
288	0.6925681438
289	0.6923665978
290	0.6921307836
291	0.6919596306
292	0.6917890031
293	0.6916114801
294	0.6914314799
295	0.691309997
296	0.6911301568
297	0.690952635
298	0.6907431692
299	0.6905721223
300	0.690431959
301	0.690294364
302	0.6900326489
303	0.6898368823
304	0.6896081863
305	0.6894029837
306	0.6892648474
307	0.6891270584
308	0.6889251451
309	0.6887658314
310	0.6885676396
311	0.6883980424
312	0.6881940017
313	0.6879595157
314	0.6877418188
315	0.6876189437
316	0.6874298034
317	0.6872828214
318	0.687150205
319	0.6869886378
320	0.6868554461
321	0.6867156502
322	0.6865591837
323	0.6864059877
324	0.6862571956
325	0.6861021165
326	0.6859196035
327	0.6857716545
328	0.6856352362
329	0.685450216
330	0.6853013416
331	0.6851670879
332	0.6850459164
333	0.6849116067
334	0.6847165111
335	0.68461714
336	0.6844785046
337	0.6843731769
338	0.6841500367
339	0.68401578
340	0.683889365
341	0.6837802016
342	0.6835982319
343	0.6834695481
344	0.683361547
345	0.6831842957
346	0.6830411389
347	0.6828498106
348	0.6827451061
349	0.6826292223
350	0.6825200532
351	0.6823825261
352	0.6822400264
353	0.6821455195
354	0.6820010074
355	0.6818605885
356	0.6816758548
357	0.6815320246
358	0.6813881438
359	0.6812612152
360	0.6811266853
361	0.6810139693
362	0.6808879604
363	0.6807402252
364	0.6806352183
365	0.6804226157
366	0.680322889
367	0.680220879
368	0.6801208977
369	0.6800198838
370	0.6798841406
371	0.679790601
372	0.6797297813
373	0.6796064448
374	0.6794206962
375	0.679362603
376	0.6792706749
377	0.6791527321
378	0.6789925112
379	0.6788988832
380	0.678826153
381	0.6787196997
382	0.6785615678
383	0.6784511569
384	0.6783489383
385	0.6782432204
386	0.6781381626
