iter	Passed	Remaining
413	3589	13751
414	3597	13739
415	3604	13724
416	3612	13715
417	3621	13707
418	3629	13695
419	3637	13683
420	3648	13682
421	3656	13673
422	3665	13666
423	3674	13659
424	3684	13655
425	3695	13653
426	3703	13643
427	3711	13631
428	3720	13624
429	3728	13614
430	3736	13602
431	3744	13592
432	3753	13582
433	3761	13572
434	3769	13562
435	3777	13551
436	3786	13541
437	3795	13533
438	3803	13525
439	3812	13515
440	3819	13503
441	3827	13492
442	3835	13480
443	3843	13469
444	3850	13456
445	3859	13446
446	3867	13436
447	3875	13426
448	3885	13422
449	3894	13413
450	3902	13402
451	3909	13390
452	3917	13378
453	3925	13366
454	3933	13355
455	3941	13344
456	3949	13336
457	3958	13326
458	3965	13313
459	3973	13302
460	3982	13293
461	3990	13283
462	3998	13272
463	4006	13262
464	4014	13251
465	4022	13240
466	4030	13230
467	4038	13221
468	4048	13214
469	4056	13206
470	4064	13194
471	4073	13187
472	4082	13178
473	4090	13169
474	4098	13157
475	4105	13143
476	4113	13133
477	4121	13123
478	4129	13113
479	4137	13102
480	4145	13091
481	4153	13082
482	4161	13069
483	4168	13056
484	4176	13045
485	4183	13033
486	4191	13022
487	4199	13012
488	4207	13002
489	4215	12990
490	4223	12979
491	4230	12966
492	4239	12960
493	4247	12949
494	4256	12941
495	4263	12929
496	4272	12920
497	4280	12911
498	4289	12901
499	4297	12892
500	4305	12881
501	4312	12869
502	4321	12860
503	4329	12851
504	4337	12841
505	4345	12829
506	4353	12821
507	4362	12811
508	4369	12800
509	4377	12789
510	4385	12778
511	4392	12765
512	4401	12758
513	4409	12748
514	4417	12738
515	4426	12731
516	4434	12721
517	4444	12714
518	4452	12705
519	4460	12694
520	4468	12685
521	4476	12675
522	4484	12665
523	4492	12654
524	4500	12644
525	4508	12635
526	4518	12628
527	4526	12619
528	4534	12608
529	4542	12597
530	4551	12590
531	4559	12581
532	4567	12570
533	4575	12561
534	4583	12550
535	4591	12540
536	4600	12532
537	4608	12524
538	4617	12517
539	4626	12508
540	4634	12497
541	4641	12485
542	4649	12476
543	4657	12464
544	4664	12452
545	4672	12443
546	4680	12432
547	4688	12421
548	4695	12411
549	4704	12401
550	4711	12391
551	4719	12379
552	4728	12372
553	4737	12365
554	4745	12355
555	4753	12345
556	4760	12333
557	4769	12325
558	4778	12317
559	4785	12306
560	4793	12296
561	4801	12284
562	4809	12274
563	4816	12263
564	4829	12266
565	4837	12255
566	4846	12249
567	4856	12244
568	4865	12235
569	4873	12227
570	4882	12219
571	4891	12211
572	4899	12201
573	4907	12191
574	4915	12181
575	4924	12174
576	4933	12167
577	4942	12158
578	4950	12150
579	4958	12140
580	4967	12131
581	4976	12123
582	4984	12116
583	4992	12105
584	5002	12099
585	5010	12089
586	5018	12079
587	5026	12069
588	5033	12059
589	5042	12050
590	5049	12038
591	5057	12028
592	5065	12019
593	5072	12006
594	5080	11996
595	5090	11990
596	5096	11978
597	5105	11969
598	5112	11957
599	5120	11947
600	5128	11938
601	5136	11928
602	5143	11917
603	5152	11907
604	5160	11899
605	5168	11889
606	5177	11880
607	5184	11870
608	5192	11859
609	5199	11848
610	5207	11837
611	5215	11829
612	5223	11819
613	5231	11808
614	5238	11797
615	5247	11788
616	5254	11778
617	5262	11768
618	5270	11758
619	5278	11747
620	5285	11736
621	5293	11726
622	5300	11714
623	5308	11706
624	5316	11695
625	5324	11687
626	5332	11676
627	5340	11667
628	5347	11656
629	5355	11646
630	5363	11636
631	5371	11626
632	5378	11615
633	5386	11604
634	5393	11594
635	5401	11584
636	5410	11576
637	5417	11565
638	5426	11557
639	5434	11548
640	5442	11538
641	5450	11528
642	5458	11519
643	5466	11510
644	5474	11501
645	5482	11490
646	5489	11479
647	5496	11468
648	5504	11458
649	5512	11448
650	5519	11438
651	5527	11428
652	5535	11419
653	5543	11409
654	5551	11399
655	5560	11391
656	5567	11381
657	5575	11371
658	5582	11360
659	5590	11351
660	5598	11341
661	5607	11332
662	5615	11324
663	5623	11314
664	5632	11306
665	5640	11297
666	5647	11287
667	5656	11280
668	5665	11271
669	5673	11262
670	5681	11252
671	5689	11244
672	5697	11233
673	5705	11223
674	5712	11213
675	5742	11248
676	5754	11245
677	5764	11239
678	5772	11231
679	5780	11221
680	5787	11210
681	5797	11203
682	5804	11193
683	5811	11181
684	5820	11174
685	5830	11167
686	5838	11157
687	5845	11146
688	5853	11137
689	5863	11131
690	5871	11122
691	5878	11111
692	5885	11099
693	5892	11088
694	5900	11078
695	5907	11068
696	5916	11059
697	5924	11051
698	5932	11041
699	5939	11031
700	5947	11021
701	5956	11014
702	5965	11005
703	5972	10995
704	5980	10984
705	5988	10975
706	5995	10965
707	6005	10958
708	6012	10948
709	6020	10938
710	6027	10927
711	6035	10918
712	6043	10909
713	6051	10899
714	6060	10891
715	6069	10884
716	6077	10875
717	6085	10866
718	6094	10858
719	6102	10848
720	6110	10840
721	6120	10832
722	6127	10823
723	6135	10813
724	6143	10804
725	6152	10796
726	6159	10786
727	6169	10779
728	6177	10770
729	6185	10760
730	6193	10752
731	6201	10743
732	6209	10732
733	6217	10724
734	6226	10716
735	6234	10707
736	6243	10699
737	6250	10689
738	6259	10680
739	6268	10672
740	6276	10664
741	6283	10653
742	6292	10645
743	6301	10637
744	6308	10627
745	6316	10618
746	6324	10608
747	6333	10600
748	6341	10592
749	6359	10598
750	6367	10590
751	6375	10580
752	6383	10571
753	6391	10562
754	6399	10552
755	6408	10544
756	6416	10536
757	6424	10526
758	6433	10518
759	6441	10509
760	6450	10501
761	6457	10491
762	6466	10483
763	6474	10474
764	6482	10464
765	6490	10455
766	6497	10445
767	6506	10436
768	6514	10428
769	6522	10419
770	6530	10410
771	6537	10399
772	6546	10391
773	6554	10382
774	6562	10373
775	6570	10364
776	6578	10354
777	6586	10345
778	6594	10335
779	6601	10324
780	6609	10315
781	6617	10306
782	6625	10298
783	6634	10290
784	6643	10282
785	6650	10271
786	6658	10263
787	6666	10254
788	6674	10244
789	6682	10235
790	6689	10225
791	6698	10216
792	6705	10206
793	6713	10197
794	6721	10187
795	6729	10179
796	6738	10170
797	6746	10161
798	6753	10152
799	6762	10143
800	6769	10133
801	6778	10125
802	6786	10116
803	6794	10107
804	6802	10098
805	6812	10092
806	6819	10081
807	6827	10072
808	6835	10063
809	6843	10054
810	6851	10045
811	6859	10035
812	6866	10025
813	6874	10016
814	6882	10007
815	6890	9997
816	6898	9988
817	6907	9980
818	6915	9972
819	6923	9962
820	6930	9952
821	6938	9943
822	6945	9933
823	6953	9923
824	6961	9914
825	6969	9905
826	6977	9897
827	6985	9887
828	6993	9879
829	7001	9869
830	7008	9859
831	7015	9849
832	7024	9840
833	7032	9831
834	7040	9823
835	7048	9813
836	7056	9805
837	7064	9796
838	7073	9788
839	7081	9779
840	7090	9771
841	7097	9761
842	7106	9752
843	7113	9743
844	7121	9733
845	7129	9724
846	7139	9718
847	7147	9709
848	7155	9700
849	7163	9691
850	7171	9682
851	7179	9673
852	7186	9663
853	7194	9653
854	7202	9644
855	7210	9636
856	7218	9627
857	7227	9619
858	7235	9610
859	7242	9600
860	7251	9593
861	7260	9585
862	7268	9575
863	7276	9567
864	7284	9558
865	7293	9550
866	7301	9541
867	7307	9530
868	7315	9521
869	7322	9511
870	7331	9502
871	7339	9494
872	7347	9484
873	7354	9475
874	7362	9466
875	7371	9457
876	7378	9448
877	7386	9439
878	7393	9429
879	7401	9420
880	7409	9411
881	7417	9402
882	7425	9392
883	7433	9384
884	7441	9375
885	7449	9366
886	7457	9357
887	7465	9348
888	7474	9340
889	7482	9331
890	7489	9322
891	7498	9313
892	7505	9304
893	7513	9295
894	7521	9285
895	7530	9278
896	7537	9268
897	7544	9258
898	7552	9249
899	7561	9241
900	7568	9231
901	7575	9221
902	7582	9211
903	7591	9203
904	7598	9193
905	7606	9184
906	7613	9175
907	7621	9166
908	7629	9157
909	7637	9148
910	7645	9138
911	7654	9131
912	7662	9122
913	7669	9112
914	7676	9102
915	7684	9094
916	7691	9084
917	7698	9074
918	7706	9064
919	7714	9055
920	7722	9047
921	7730	9039
922	7737	9028
923	7746	9020
924	7755	9013
925	7762	9003
926	7772	8996
927	7781	8988
928	7789	8980
929	7797	8971
930	7806	8963
931	7814	8954
932	7821	8945
933	7830	8936
934	7838	8928
935	7846	8919
936	7854	8910
937	7861	8900
938	7869	8892
939	7878	8884
940	7886	8875
